RIPOLL Y MARTÍNEZ DE BEDOYA Carlos
ROBLES PIQUER Carlos
WESTENDORP Y CABEZA Carlos
ZORRINHO Carlos
BRU PURÓN Carlos María
CERDEIRA MORTERERO Carmen
DÍEZ DE RIVERA ICAZA Carmen
FRAGA ESTÉVEZ Carmen
ROMERO LÓPEZ Carmen
TONGUE Carole
JACKSON Caroline
LUCAS Caroline
CHINNICI Caterina
BEARDER Catherine
BOURSIER Catherine
GRÈZE Catherine
GUY-QUINT Catherine
LALUMIÈRE Catherine
NERIS Catherine
SOULLIE Catherine
STIHLER Catherine
TRAUTMANN Catherine
MARINI Catiuscia
MALMSTRÖM Cecilia
WIKSTRÖM Cecilia
BREMMER Cees
ÖZDEMIR Cem
CAUQUIL Chantal
SIMONOT Chantal
ANGOURAKIS Charalampos
DE GAULLE Charles
GOERENS Charles
PASQUA Charles
TANNOCK Charles
CEDERSCHIÖLD Charlotte
DAVIES Chris
KLASS Christa
PRETS Christa
RANDZIO-PLATH Christa
FIEBIGER Christel
SCHALDEMOSE Christel
EHLER Christian
ENGSTRÖM Christian
JACOB Christian
ROVSING Christian
CABROL Christian E.A.
VON BOETTICHER Christian Ulrik
TAUBIRA-DELANNON Christiane
CHRISTOVA Christina
DE VEYRAC Christine
MUSTIN-MAYER Christine
REVAULT D'ALLONNES BONNEFOY Christine
CRAWLEY Christine M.
ODDY Christine Margaret
TARAMOUNTAS Christodoulos
TANNERT Christof
FJELLNER Christofer
KONRAD Christoph
BÉCHU Christophe
BEAZLEY Christopher
HEATON-HARRIS Christopher
HUHNE Christopher
FOLIAS Christos
STYLIANIDES Christos
ZACHARAKIS Christos
PALIADELI Chrysoula
GIBAULT Claire
AGUILERA GARCÍA Clara Eugenia
MOODY Clare
MORAES Claude
ROLIN Claude
TURMES Claude
DELCROIX Claude A.F.
DESAMA Claude J.-M.J.
ABELA BALDACCHINO Claudette
ROTH Claudia
SCHMIDT Claudia
TAPARDEL Claudia
AZZOLINI Claudio
FAVA Claudio
MARTELLI Claudio
MORGANTI Claudio
TĂNĂSESCU Claudiu Ciprian
LARSEN-JENSEN Claus
MASTELLA Clemente
NEEDLE Clive John
MONTEIRO DE AGUIAR Cláudia
FLESCH Colette
BURKE Colm
FERRER Concepció
LE GRIP Constance
DUMITRIU Constantin
KREHL Constanze
VAN NIEUWENHUIZEN Cora
WORTMANN-KOOL Corien
CREȚU Corina
LEPAGE Corinne
ERNST Cornelia
DE JONG Cornelis
VISSER Cornelis
VADIM TUDOR Corneliu
AUGIAS Corrado
GABRIELE Corrado
BOTOPOULOS Costas
MAVRIDES Costas
RIVELLINI Crescenzio
DUMITRESCU Cristian
STĂNESCU Cristian
PREDA Cristian Dan
BUȘOI Cristian-Silviu
MUSCARDINI Cristiana
GARCÍA-ORCOYEN TORMO Cristina
GUTIÉRREZ-CORTINES Cristina
SORIANO GIL Cristina
MONTORO ROMERO Cristobal
MOLNÁR Csaba
SÓGOR Csaba
ŐRY Csaba
TABAJDI Csaba Sándor
SZEGEDI Csanád
MALTESE Curzio
SIEKIERSKI Czesław Adam
CHIRIȚĂ Călin Cătălin
IVAN Cătălin Sorin
NECHIFOR Cătălin-Ioan
SÂRBU Daciana Octavia
ROTH-BEHRENDT Dagmar
DRĂGHICI Damian
ZOFFOLI Damiano
ABAD Damien
JØRGENSEN Dan
MIHALACHE Dan
NICA Dan
ZAMFIRESCU Dan Dumitru
SCALLON Dana Rosemary
BAUTISTA Daniel
BUDA Daniel
CASPARY Daniel
COHN-BENDIT Daniel
DALTON Daniel
DUCARME Daniel
DĂIANU Daniel
FÉRET Daniel
HANNAN Daniel
KROUPA Daniel
STROŽ Daniel
VARELA SUANZES-CARPEGNA Daniel
FUNERIU Daniel Petru
AIUTO Daniela
BURUIANĂ-APRODU Daniela
RASCHHOFER Daniela
VIOTTI Daniele
AUROI Danielle
DARRAS Danielle
POGGIOLINI Danilo
VAN DER STOEP Daniël
CIBOROWSKA Danuta
JAZŁOWIECKA Danuta
HÜBNER Danuta Maria
BUDREIKAITĖ Danutė
TAMBURRANO Dario
ROSATI Dariusz
GRABOWSKI Dariusz Maciej
BORRELLI David
CAMPBELL BANNERMAN David
CASA David
COBURN David
HAMMERSTEIN David
MARTIN David
MCALLISTER David
SUMBERG David
THOMAS David Edward
HALLAM David John Alfred
MORRIS David R.
BOWE David Robert
SASSOLI David-Maria
BOŽINOVIĆ Davor
ŠKRLEC Davor
STIER Davor Ivo
JACKIEWICZ Dawid Bohdan
SERRACCHIANI Debora
CLUNE Deirdre
VOLCIC Demetrio
PAPADAKIS Demetris
DOVER Den
VAUGHAN Derek
CLARK Derek Roland
EPPINK Derk Jan
CHUKOLOV Desislav
SAMLAND Detlev
MANOLAKOU Diamanto
WALLIS Diana
DODDS Diane
JAMES Diane
ROD Didier
THEATO Diemut R.
KOCH Dieter-Lebrecht
KÖSTER Dietmar
ELCHLEPP Dietrich
ABADJIEV Dimitar
STOYANOV Dimitar
DROUTSAS Dimitrios
KOULOURIANOS Dimitrios
PAPADIMOULIS Dimitrios
SYLLOURIS Dimitrios
TSATSOS Dimitris
FEIO Diogo
STERCKX Dirk
CHARANZOVÁ Dita
EISMA Doeke
GARCÍA-HIERRO CARABALLO Dolores
MENNITTI Domenico
BASILE Domenico Antonio
BAUDIS Dominique
BILDE Dominique
MARTIN Dominique
RIQUET Dominique
SAINT-PIERRE Dominique
VLASTO Dominique
SOUCHET Dominique F.C.
GOTTARDI Donata
VERALDI Donato Tommaso
CORBEY Dorette
PACK Doris
CHRISTODOULIDIS Doros
FRUNZULICĂ Doru-Claudian
DAVID Dragoș Florin
FREITAS Duarte
ŠUICA Dubravka
BECȘENESCU Dumitru
OPREA Dumitru
COȘEA Dumitru Gheorghe Mircea
ZDRAVKOVA Dushana
RIBEIRO E CASTRO José
MARINHO E PINTO António
SCHIEDERMEIER Edgar Josef
BAUER Edit
HERCZOG Edit
ESTRELA Edite
MASTENBROEK Edith
MÜLLER Edith
WITTBRODT Edmund Kazimierz
FERRAND Edouard
MARTIN Edouard
DES PLACES Edouard C.M.P.
KUKAN Eduard
HELLVIG Eduard-Raul
KOŽUŠNÍK Edvard
MCMILLAN-SCOTT Edward
NEWMAN Edward
SCICLUNA Edward
KELLETT-BOWMAN Edward T.
KORAKAS Efstratios
CHRISTODOULOU Efthymios
VAREIKIS Egidijus
GARDIAZABAL RUBIAL Eider
KORHOLA Eija-Riitta
BERG Eiki
SYNADINOS Eleftherios
BĂSESCU Elena
GENTILE Elena
MARINUCCI Elena
VALENCIANO Elena
ANTONESCU Elena Oana
PACIOTTI Elena Ornella
MAVROU Eleni
THEOCHAROUS Eleni
EVI Eleonora
FORENZA Eleonora
LO CURTO Eleonora
HOARAU Elie
FERREIRA Elisa
DAMIÃO Elisa Maria
GUIGOU Elisabeth
HLAVAC Elisabeth
JEGGLE Elisabeth
KÖSTINGER Elisabeth
MORIN-CHARTIER Elisabeth
REHN Elisabeth
SCHROEDTER Elisabeth
GARDINI Elisabetta
VOZEMBERG Elissavet
LYNNE Elizabeth
MONTFORT Elizabeth
DE GROEN-KOUWENHOVEN Elly
PLOOIJ-VAN GORSEL Elly
SCHLEIN Elly
BROK Elmar
ATTWOOLL Elspeth
MORGAN Eluned
ŁUKACIJEWSKA Elżbieta Katarzyna
FERNANDES Emanuel Jardim
COSTELLO Emer
RADEV Emil
STOYANOV Emil
MÜLLER Emilia Franziska
PAVEL Emilian
TURUNEN Emilie
MENÉNDEZ DEL VALLE Emilio
BOZKURT Emine
BONINO Emma
MCCLARKIN Emma
ANGELAKAS Emmanouil
BAKOPOULOS Emmanouil
GLEZOS Emmanouil
MASTORAKIS Emmanouil
MAUREL Emmanuel
REDONDO JIMÉNEZ Encarnación
GYŐRI Enikő
